ApplNo	ApplType	ApplPublicNotes	SponsorName
014879	NDA		HIKMA
014882	NDA		CHARTWELL MOLECULAR
014901	NDA		APOTHECON
015034	NDA		AVION PHARMS
015103	NDA		SANOFI AVENTIS US
015193	NDA		BAUSCH
015197	NDA		HIKMA
015229	NDA		EPIC PHARMA LLC
015230	NDA		HIKMA
015296	NDA		EUROFARMA
015417	NDA		WEST WARD
015419	NDA		BRACCO
015500	NDA		PHARMACIA AND UPJOHN
015539	NDA		ALPHARMA US PHARMS
015868	NDA		GLAXOSMITHKLINE
015874	NDA		BOEHRINGER INGELHEIM
015921	NDA		ORTHO MCNEIL
015922	NDA		ORTHO MCNEIL
015923	NDA		JANSSEN PHARMS
016000	NDA		BAYER HLTHCARE
016001	NDA		SOLVAY
016008	NDA		SCHERING
016012	NDA		TEVA WOMENS
016016	NDA		MERCK
016023	NDA		ENDO PHARMS
016029	NDA		GD SEARLE LLC
016030	NDA		BAYER
016033	NDA		GLAXOSMITHKLINE
016042	NDA		GLAXOSMITHKLINE LLC
016053	NDA		SCHERING
016059	NDA		ZYLA LIFE SCIENCES
016080	NDA		B BRAUN
016084	NDA		CASPER PHARMA LLC
016087	NDA		ROCHE
016092	NDA		BAUSCH
016093	NDA		BAUSCH
016096	NDA		MERCK SHARP DOHME
016097	NDA		MERCK SHARP DOHME
016099	NDA		WYETH AYERST
016110	NDA		APOTHECON
016118	NDA		BRISTOL MYERS SQUIBB
016119	NDA		BRISTOL MYERS SQUIBB
016126	NDA		WYETH CONS
016131	NDA		SANOFI AVENTIS US
016144	NDA		ALLERGAN
016149	NDA		ROCHE
016151	NDA		QUAGEN
016161	NDA		EUROFARMA
016192	NDA		ASTRAZENECA
016194	NDA		HOSPIRA
016199	NDA		ANI PHARMS
016211	NDA		NOVARTIS
016224	NDA		BRACCO
016245	NDA		ABBOTT
016249	NDA		SOLVAY
016267	NDA		MITEM PHARMA
016269	NDA		HOSPIRA
016273	NDA		VALIDUS PHARMS
016295	NDA	Medication Guide is for DROXIA.	WAYLIS THERAP
016297	NDA		FRESENIUS KABI USA
016320	NDA		KANCHAN HLTHCARE
016322	NDA		SCHERING
016324	NDA		LEGACY
016363	NDA		SANOFI AVENTIS US
016366	NDA		OTSUKA ICU MEDCL
016367	NDA		OTSUKA ICU MEDCL
016401	NDA		POLYMEDICA
016402	NDA		BOEHRINGER INGELHEIM
016403	NDA		GE HEALTHCARE
016418	NDA		WYETH PHARMS
016419	NDA		BAXTER HLTHCARE CORP
016455	NDA		ALMIRALL
016466	NDA		ETHYPHARM
016515	NDA		CURIUM
016517	NDA		CURIUM
016584	NDA		PFIZER
016608	NDA		NOVARTIS
016619	NDA		RISING
016620	NDA		ALMATICA
016624	NDA		ALLERGAN
016636	NDA		ADAPT
016640	NDA		BRISTOL MYERS
016647	NDA		BAYER HLTHCARE
016659	NDA		ACTAVIS LABS UT INC
016666	NDA		MALLINCKRODT
016672	NDA		WYETH PHARMS
016673	NDA		BAXTER HLTHCARE
016675	NDA		MERCK
016677	NDA		BAXTER HLTHCARE
016678	NDA		BAXTER HLTHCARE
016679	NDA		BAXTER HLTHCARE
016682	NDA		BAXTER HLTHCARE
016683	NDA		BAXTER HLTHCARE
016687	NDA		BAXTER HLTHCARE
016689	NDA		BAXTER HLTHCARE
016692	NDA		BAXTER HLTHCARE
016693	NDA		BAXTER HLTHCARE
016694	NDA		BAXTER HLTHCARE
016695	NDA		BAXTER HLTHCARE
016696	NDA		BAXTER HLTHCARE
016697	NDA		BAXTER HLTHCARE
016704	NDA		B BRAUN
016705	NDA		GD SEARLE LLC
016708	NDA		CURIUM
016709	NDA		ORTHO MCNEIL JANSSEN
016721	NDA		VALEANT PHARM INTL
016724	NDA		GD SEARLE LLC
016725	NDA		GD SEARLE LLC
016727	NDA		BRISTOL MYERS SQUIBB
016729	NDA		MALLINCKRODT
016730	NDA		B BRAUN
016732	NDA		SANOFI AVENTIS US
016733	NDA		B BRAUN
016734	NDA		B BRAUN
016740	NDA		SCHERING
016741	NDA		B BRAUN
016750	NDA		AMPHASTAR PHARMS INC
016758	NDA		PFIZER
016763	NDA		RISING
016765	NDA		ELORAC
016769	NDA		ORTHO MCNEIL JANSSEN
016772	NDA		B BRAUN
016774	NDA		NOVARTIS
016775	NDA		NOVARTIS
016776	NDA		ASTRAZENECA
016782	NDA		SOLVAY
016783	NDA		MALLINCKRODT
016784	NDA		B BRAUN
016785	NDA		LEADIANT BIOSCI INC
016792	NDA		TEVA WOMENS
016793	NDA		TEVA PARENTERAL
016796	NDA		RISING
016798	NDA		PFIZER
016801	NDA		FRESENIUS KABI USA
016803	NDA		STERLING
016806	NDA		WYETH PHARMS
016807	NDA		ALLERGAN
016812	NDA		PH HEALTH
016818	NDA		ROERIG
016820	NDA		PFIZER
016822	NDA		B BRAUN
016829	NDA		AAIPHARMA LLC
016831	NDA		EXTROVIS
016832	NDA		ABBOTT
016834	NDA		PFIZER
