decision_id,company_name,drug_brand,decision_date,application_number,crosscheck_status,openfda_sponsor_name,openfda_brand_name,openfda_decision_date,openfda_source_url,detail
D018,Ipsen S.A.,Iqirvo,2024-06-10,218860,MATCH,IPSEN,IQIRVO,2024-06-10,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=218860,"date, brand and sponsor all agree with openFDA"
D019,Botanix Pharmaceuticals,Sofdra,2024-06-18,217347,MATCH,BOTANIX SB,SOFDRA,2024-06-18,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=217347,"date, brand and sponsor all agree with openFDA"
D021,Roche Holding AG (Genentech),Piasky,2024-06-20,761388,MATCH,GENENTECH INC,PIASKY,2024-06-20,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761388,"date, brand and sponsor all agree with openFDA"
D020,Verona Pharma plc,Ohtuvayre,2024-06-26,217389,MATCH_DATE_ONLY,MSD,OHTUVAYRE,2024-06-26,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=217389,date and brand agree; sponsor wording differs (master 'Verona Pharma plc' vs openFDA 'MSD') — ownership change or legal-entity name
D022,Eli Lilly and Company,Kisunla,2024-07-02,761248,MATCH,ELI LILLY CO,KISUNLA,2024-07-02,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761248,"date, brand and sponsor all agree with openFDA"
D023,Sun Pharmaceutical Industries,Leqselvi,2024-07-25,217900,MATCH,SUN PHARM INDS INC,LEQSELVI,2024-07-25,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=217900,"date, brand and sponsor all agree with openFDA"
D033,Servier Pharmaceuticals (private),Voranigo,2024-08-06,218784,MATCH,SERVIER,VORANIGO,2024-08-06,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=218784,"date, brand and sponsor all agree with openFDA"
D032,Ascendis Pharma,Yorvipath,2024-08-09,216490,MATCH,ASCENDIS PHARMA BONE,YORVIPATH,2024-08-09,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=216490,"date, brand and sponsor all agree with openFDA"
D031,Galderma Group AG,Nemluvio,2024-08-12,761390,MATCH,GALDERMA LABS LP,NEMLUVIO,2024-08-12,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761390,"date, brand and sponsor all agree with openFDA"
D029,Incyte Corporation,Niktimvo,2024-08-14,761411,MATCH,INCYTE CORP,NIKTIMVO,2024-08-14,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761411,"date, brand and sponsor all agree with openFDA"
D030,Gilead Sciences,Livdelzi,2024-08-14,217899,MATCH,GILEAD SCIENCES INC,LIVDELZI,2024-08-14,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=217899,"date, brand and sponsor all agree with openFDA"
D028,Johnson & Johnson,Lazcluze,2024-08-19,219008,MATCH_DATE_ONLY,JANSSEN BIOTECH,LAZCLUZE,2024-08-19,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=219008,date and brand agree; sponsor wording differs (master 'Johnson & Johnson' vs openFDA 'JANSSEN BIOTECH') — ownership change or legal-entity name
D027,Eli Lilly and Company,Ebglyss,2024-09-13,761306,MATCH,ELI LILLY AND CO,EBGLYSS,2024-09-13,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761306,"date, brand and sponsor all agree with openFDA"
D026,Zevra Therapeutics,Miplyffa,2024-09-20,214927,MATCH,ZEVRA DENMARK,MIPLYFFA,2024-09-20,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=214927,"date, brand and sponsor all agree with openFDA"
D025,IntraBio Inc. (private),Aqneursa,2024-09-24,219132,MATCH,INTRABIO,AQNEURSA,2024-09-24,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=219132,"date, brand and sponsor all agree with openFDA"
D024,Bristol Myers Squibb,Cobenfy,2024-09-26,216158,MATCH,BRISTOL-MYERS,COBENFY,2024-09-26,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=216158,"date, brand and sponsor all agree with openFDA"
D039,GE HealthCare Technologies,Flyrcado,2024-09-27,215168,MATCH,GE HLTHCARE,FLYRCADO,2024-09-27,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=215168,"date, brand and sponsor all agree with openFDA"
D038,Roche Holding AG (Genentech),Itovebi,2024-10-10,219249,MATCH,GENENTECH INC,ITOVEBI,2024-10-10,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=219249,"date, brand and sponsor all agree with openFDA"
D037,Pfizer,Hympavzi,2024-10-11,761369,MATCH,PFIZER INC,HYMPAVZI,2024-10-11,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761369,"date, brand and sponsor all agree with openFDA"
D250,Astellas Pharma Inc.,Vyloy,2024-10-18,761365,MATCH,ASTELLAS,VYLOY,2024-10-18,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761365,"date, brand and sponsor all agree with openFDA"
D036,Iterum Therapeutics,Orlynvah,2024-10-25,213972,MATCH,ITERUM THERAP,ORLYNVAH,2024-10-25,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=213972,"date, brand and sponsor all agree with openFDA"
D035,Syndax Pharmaceuticals,Revuforj,2024-11-15,218944,MATCH,SYNDAX,REVUFORJ,2024-11-15,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=218944,"date, brand and sponsor all agree with openFDA"
D034,Zymeworks Inc.,Ziihera,2024-11-20,761416,MATCH_DATE_ONLY,JAZZ PHARMS,ZIIHERA,2024-11-20,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761416,date and brand agree; sponsor wording differs (master 'Zymeworks Inc.' vs openFDA 'JAZZ PHARMS') — ownership change or legal-entity name
D248,AOP Health (AOP Orphan Pharmaceuticals),Rapiblyk,2024-11-22,217202,MATCH,AOP HLTH US,RAPIBLYK,2024-11-22,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=217202,"date, brand and sponsor all agree with openFDA"
D249,"BridgeBio Pharma, Inc.",Attruby,2024-11-22,216540,MATCH,BRIDGEBIO PHARMA,ATTRUBY,2024-11-22,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=216540,"date, brand and sponsor all agree with openFDA"
D247,Bracco Imaging S.p.A.,Iomervu,2024-11-27,216017,MATCH,BRACCO,IOMERVU,2024-11-27,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=216017,"date, brand and sponsor all agree with openFDA"
D246,"Merus N.V. (acquired by Genmab, 2025)",Bizengri,2024-12-04,761352,MATCH,MERUS N.V.,BIZENGRI,2024-12-04,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761352,"date, brand and sponsor all agree with openFDA"
D244,"Neurocrine Biosciences, Inc.",Crenessity,2024-12-13,218808,MATCH,NEUROCRINE,CRENESSITY,2024-12-13,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=218808,"date, brand and sponsor all agree with openFDA"
D245,"Checkpoint Therapeutics, Inc. (acquired by Sun Pharma, 2025)",Unloxcyt,2024-12-13,761297,MATCH,CHECKPOINT THERAPEUTICS INC,UNLOXCYT,2024-12-13,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761297,"date, brand and sponsor all agree with openFDA"
