row_id,application_number,probe_file,probe_url,probe_sha256,live_orig_date,live_class_code,live_review_priority,live_sponsor,status,checked_against_payload
PRE1980AUDIT-1967-31,NDA016295,probe_NDA016295.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016295%22&limit=1000,e3ce6384a8d4466f6a4eec8a5b0e3fd1c13f721100b54c4d50eab1abe59eb42b,19671207,TYPE 1,PRIORITY,WAYLIS THERAP,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1968-04,NDA016608,probe_NDA016608.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016608%22&limit=1000,66e6d3b396d69c3594a15d514bff9a36a9afd9233366d3eb7614d56a67a889b3,19680311,TYPE 1,PRIORITY,NOVARTIS,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1968-06,NDA016324,probe_NDA016324.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016324%22&limit=1000,ae86e8c4d31e541923fc49cdc10dd720f8860160a763ad4ca4287d1355df8682,19680320,TYPE 1,PRIORITY,LEGACY,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1968-09,NDA016267,probe_NDA016267.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016267%22&limit=1000,d32ce15775ced79a5bb5b01ba086ca139ad6438410bcf5c016ade9c3cc557b86,19680401,TYPE 1,PRIORITY,MITEM PHARMA,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1968-11,NDA016672,probe_NDA016672.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016672%22&limit=1000,0cc7621454c9c19e8fffa90f6309c7606957264cd87314db2a1bffe32750b78a,19680416,TYPE 1/4,PRIORITY,WYETH PHARMS,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1969-02,NDA013615,probe_NDA013615.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA013615%22&limit=1000,8c918c67bd6f41b67f4c18fce95e053a5a96ca393e8a90eddf3b9ec6ea8579bb,19690203,TYPE 1,STANDARD,DOW PHARM,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1969-06,NDA016119,probe_NDA016119.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016119%22&limit=1000,10d55a933711409e28abfdf3e76a6f2f49872f7dd5a7dd019bbab5dcbaa33411,19690603,TYPE 1,STANDARD,BRISTOL MYERS SQUIBB,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1969-07,NDA012828,probe_NDA012828.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA012828%22&limit=1000,be3aa4a952845d07aab48a3fbe6f79a3322bc705a526d87064c6b2b8c55551b3,19690612,TYPE 1,PRIORITY,ABBOTT,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1969-08,NDA016793,probe_NDA016793.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016793%22&limit=1000,70a21aabc45ad6bdb987383163416c8868854bcc0b08f6629769461cfd73691e,19690617,TYPE 1,PRIORITY,TEVA PARENTERAL,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1969-11,NDA016785,probe_NDA016785.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016785%22&limit=1000,75cf38b8506083463f242cacb2fced30cae44c19c1ad46e65cf1daf177ea06a1,19690722,TYPE 1,PRIORITY,LEADIANT BIOSCI INC,MATCH,date+class+priority+holder all equal
PRE1980AUDIT-1969-19,NDA016798,probe_NDA016798.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016798%22&limit=1000,9e82d7de691eb4634c4a5661a415109a44eb53a5db2d301ee6c52dfd9af9ae08,19690923,TYPE 1,STANDARD,PFIZER,MATCH,date+class+priority+holder all equal
