row_id,application_number,probe_file,probe_url,probe_sha256,live_orig_date,live_class_code,live_review_priority,live_sponsor,status,checked_against_payload
PRE1980AUDIT-1979-32,NDA018186,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-33,NDA017884,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-34,NDA018141,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-35,NDA018229,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-36,NDA018206,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-37,NDA018156,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-38,NDA018161,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-39,NDA018096,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-40,NDA017521,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-41,NDA018080,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-42,NDA018256,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-43,NDA018124,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-44,NDA050509,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-45,NDA050508,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-46,NDA018264,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-47,NDA050505,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-48,NDA017871,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-49,NDA018116,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-50,NDA018154,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-51,NDA018150,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-52,NDA018039,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-53,NDA018084,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-54,NDA018307,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-55,NDA018211,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-56,NDA050529,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-57,NDA018144,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-58,NDA018063,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-59,NDA017624,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-60,NDA050484,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-61,NDA017938,,,,,,,,PROBE_PENDING,probe capture pending
PRE1980AUDIT-1979-62,NDA017874,,,,,,,,PROBE_PENDING,probe capture pending
