company_name,ticker,us_investable_class,total_original_non_nme,distinct_applications,n_type2_new_active,n_type3_new_dosage,n_type4_new_combination,n_type5_formulation_or_manufacturer,n_new_indication_original,n_biosimilar_or_unpublished_bla,n_medical_gas,n_other,clinical_relevant_count,priority_review_count,priority_review_share_pct,first_orig_date,last_orig_date,orig_last_5y,orig_velocity_per_yr,novel_approvals_tracked,rows_flagged_for_review,evidence_basis,verification_status
Blueprint Medicines Corporation,BPMC,US-LISTED,1,1,0,0,0,0,1,0,0,0,1,1,100.0,2020-12-01,2020-12-01,0,0.0,2,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=BPMC) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
SIGA Technologies Inc.,SIGA,US-LISTED,1,1,0,1,0,0,0,0,0,0,1,0,0.0,2022-05-18,2022-05-18,1,0.2,1,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=SIGA) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
"Apellis Pharmaceuticals, Inc.",APLS,US-LISTED,1,1,0,1,0,0,0,0,0,0,1,1,100.0,2023-02-17,2023-02-17,1,0.2,1,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=APLS) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
"Ardelyx, Inc.",ARDX,US-LISTED,1,1,0,0,0,0,1,0,0,0,1,0,0.0,2023-10-17,2023-10-17,1,0.2,1,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=ARDX) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Day One Biopharmaceuticals,DAWN,US-LISTED,1,1,0,1,0,0,0,0,0,0,1,1,100.0,2024-04-23,2024-04-23,1,0.2,1,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=DAWN) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
SpringWorks Therapeutics,SWTX,US-LISTED,1,1,0,1,0,0,0,0,0,0,1,1,100.0,2025-02-11,2025-02-11,1,0.2,2,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=SWTX) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
"BioCryst Pharmaceuticals, Inc.",BCRX,US-LISTED,1,1,0,1,0,0,0,0,0,0,1,1,100.0,2025-12-11,2025-12-11,1,0.2,2,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 1. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=BCRX) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Shilpa Medicare Limited,SHILPAMED.NS,NON-US LISTING ONLY,3,3,0,0,0,3,0,0,0,0,0,0,0.0,2015-12-22,2024-08-26,2,0.4,0,0,"3 original non-NME FDA approvals across 3 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 0. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=SHILPAMED.NS) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
GE HealthCare Technologies Inc.,GEHC,US-LISTED,1,1,0,0,0,1,0,0,0,0,0,0,0.0,2007-09-05,2007-09-05,0,0.0,2,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 0. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=GEHC) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Seattle Genetics (now Pfizer; acquired 2024),SGEN,US-LISTED,1,1,0,0,0,0,0,1,0,0,0,0,0.0,2011-08-19,2011-08-19,0,0.0,3,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 0. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=SGEN) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Adamis Pharmaceuticals Corporation,ADMP,US-LISTED,1,1,0,0,0,1,0,0,0,0,0,0,0.0,2017-06-15,2017-06-15,0,0.0,0,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 0. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=ADMP) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
"Lantheus Holdings, Inc. (via Progenics Pharmaceuticals)",LNTH,FORMERLY US-LISTED (DELISTED/ACQUIRED),1,1,0,0,0,1,0,0,0,0,0,1,100.0,2018-07-30,2018-07-30,0,0.0,3,1,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 0. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=LNTH) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records - 1 row(s) flagged for review
"Coherus BioSciences, Inc.",CHRS,US-LISTED,1,1,0,0,0,1,0,0,0,0,0,0,0.0,2018-11-02,2018-11-02,0,0.0,1,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 0. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=CHRS) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
"Eyenovia, Inc.",EYEN,US-LISTED,1,1,0,0,0,1,0,0,0,0,0,0,0.0,2023-05-05,2023-05-05,1,0.2,0,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 0. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=EYEN) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
Halozyme Therapeutics,HALO,US-LISTED,1,1,0,0,0,0,0,1,0,0,0,0,0.0,2023-06-20,2023-06-20,1,0.2,1,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 0. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=HALO) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
"Regeneron Pharmaceuticals, Inc.",REGN,US-LISTED,1,1,0,0,0,1,0,0,0,0,0,1,100.0,2023-08-18,2023-08-18,1,0.2,11,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 0. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=REGN) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
"Tanvex BioPharma, Inc.",6541.TW,NON-US LISTING ONLY,1,1,0,0,0,0,0,1,0,0,0,0,0.0,2024-06-28,2024-06-28,1,0.2,0,0,"1 original non-NME FDA approvals across 1 application(s), 2000-2026; clinical-relevant (Type 2/3/4 + new-indication originals) = 0. Each row in data/fda_original_non_nme_decisions.csv (filter ticker=6541.TW) links Drugs@FDA.",Verified - counted from openFDA Drugs@FDA ORIG/AP records
